"age_band","gender_concept_id","gender_label","consensusMethod","consensusThreshold","rangeMethod","lowerProb","upperProb","minPlausible","maxPlausible","retainedDistinctValues","retainedTotalFrequency","excludedDistinctValues","excludedTotalFrequency","stratumAnalyzable","skipReason"
"18-39",8507,"Male","count",3,"weighted_quantile",0.001,0.999,98,119,22,1181,3,11,TRUE,NA
"18-39",8532,"Female","count",3,"weighted_quantile",0.001,0.999,95,116,22,1181,4,13,TRUE,NA
"40-64",8507,"Male","count",3,"weighted_quantile",0.001,0.999,101,122,22,1181,2,10,TRUE,NA
"40-64",8532,"Female","count",3,"weighted_quantile",0.001,0.999,98,119,22,1181,2,10,TRUE,NA
"65-79",8507,"Male","count",3,"weighted_quantile",0.001,0.999,103,124,22,1188,1,3,TRUE,NA
"65-79",8532,"Female","count",3,"weighted_quantile",0.001,0.999,100,121,22,1188,1,3,TRUE,NA
"80+",8507,"Male","count",3,"weighted_quantile",0.001,0.999,105,125,21,788,1,6,TRUE,NA
"80+",8532,"Female","count",3,"weighted_quantile",0.001,0.999,102,122,21,788,2,7,TRUE,NA
"80+",8551,"Unknown","count",3,"weighted_quantile",0.001,0.999,NA,NA,NA,NA,NA,NA,FALSE,"insufficient_distinct_values"
